,product_id,product_title
56,1502904,"Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo, Conditioner & Hair Wrap - Anti Dandruff Combo"
57,1502902,Nykaa Naturals Apple Cider Vinegar & Ginger Anti- Dandruff Shampoo and Hair Wrap Combo
58,1498580,Nykaa Naturals Onion & Fenugreek + Apple Cider & Vinegar + Amla & Curry Leaves Shampoo - Pack of 3
59,1485846,Nykaa Naturals Jade Comb For Hair Growth And Scalp Health - Green Jade
60,1485845,Nykaa Naturals Ice Roller for De-puffing and Face Toning Massage - Blue
61,1485844,Nykaa Naturals Ice Roller for De-puffing and Face Toning Massage - Lavender
62,1485843,Nykaa Naturals Ice Roller for De-puffing and Face Toning Massage - Pink
63,1474701,Nykaa Naturals CleanTouch 2 in 1 Face Brush & Massager for Deep Cleansing & Exfoliation
64,1473197,Nykaa Naturals CleanTouch 2 in 1 Face Brush & Massager for Deep Cleansing & Exfoliation - Pink
65,1366625,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Hair Mask
66,1356977,Retinol & Hyaluronic Acid Sleeping Mask for Intense Hydration - Pack of 2
67,1285508,Nykaa Naturals 2 in 1 Vibrating Face Roller With Under Eye Massager - Green Jade
68,1217419,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo - Pack of 3
69,1171873,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo - Pack of 2
70,1171833,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo
71,1058010,Nykaa Facial Ice Globes for Depuffing & Skin Tightening
72,982132,Nykaa Mirror Shine Trousseau Box
73,950973,Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow
74,815797,"Nykaa Moi Fragrance Mini Bar Combo- Amour, Bisous, Joie De Vivre, Raison D'Etre"
75,792460,Nykaa Sun Gaze Holographic Vanity Kit 2
76,787778,Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14
77,68138,Nykaa Dual Tone Nail Enamel Remover
78,646041,Nykaa Mirror Shine Trousseau Box - Rose Gold
79,626493,Nykaa Wing In A Blink Eyeliner Pen - Dark Knight 01
80,5880614,Nykaa Bestsellers - So Creme Lipstick - Wakeup Makeup + All Day Matte Liquid Lipstick - Soul Sister
81,5880612,Nykaa Glamoreyes Coloured Liquid Eyeliner & Pencil Duo - Chaotic Calypso + Jade Jinx
82,5694317,Nykaa Cosmetics Eyes On Me ! 4 In 1 Quad Eyeshadow Palette Desk To Date + Night Out
83,569411,Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow
84,564441,Nykaa Lash Talk False Eyelash
85,564436,Nykaa Lash Talk False Eyelash - Major Length
86,551016,Nykaa Strobe & Glow Liquid Highlighter
87,551015,Nykaa Strobe & Glow Liquid Highlighter - Blushed Moonlight
88,551014,Nykaa Strobe & Glow Liquid Highlighter - Glazed Bronze
89,540693,Nykaa Get Set Matte! Demi Matte Lip Cream Liquid Lipstick - BASIC
90,520376,Nykaa Matte To Last! Mini Liquid Lipstick - Maithili 25
91,5177218,Nykaa Cosmetics Blendpro Powder Brushes Combo
92,513866,Masaba By Nykaa - Face Palm Lipstick & Nail Enamel Combo
93,513815,Masaba By Nykaa - You Croc My World Lipstick & Nail Enamel Combo
94,513103,Masaba By Nykaa Lipstick
95,4996634,Nykaa Prep Me Up Primer + All Day Matte Foundation Perfect Your Base Combo
96,4996628,Nykaa Cosmetics All Day Matte Long Wear Foundation + Compact - Beige
97,4996626,Nykaa All Day Matte Long Wear Foundation + Compact - Ivory
98,4749405,Nykaa Cosmetics Breathable Nail Enamel Set Of 4- Downtime Daisy + Lazy Lilac + Sea Breeze+Stay Zen
99,4692430,Nykaa Cosmetics Mini Skinshield Anti-pollution Matte Foundation - Very Vanilla 02
100,4641579,Nykaa Cosmetics Trending Neons Matte Nail Enamel - Cherry Pop + Lemonade Fizz + Pink Lemonade
101,461917,Nykaa So Matte! Mini Lipstick - 37 M Beachy Peachy
102,461916,Nykaa So Matte! Mini Lipstick - 01 Notorious Red
103,461912,Nykaa So Matte! Mini Lipstick - 26 M Bon Bon
104,461910,Nykaa So Matte! Mini Lipstick - 45 M Dirty Peach
105,4613638,Nykaa Cosmetics Ultra Matte Lipsticks - Grace + Marilyn + Neferti
106,4613636,Nykaa Cosmetics Puckers On With Matte To Last Liquid Lipstick- Begum + Boho + Maithili
107,4613635,Nykaa Cosmetics Best Of Matte To Last In Minis- Janhvi + Madras Kaapi + Maharani
108,4613633,Nykaa Cosmetics So Matte Mini Nude Lipsticks - Bon Bon + Totes Natural + Cinnamon Crunch
109,448344,Nykaa Oh My Brow! Eyebrow Mascara - Sirius Brown
110,4432091,Nykaa Mini Skinshield Anti-pollution Matte Foundation
111,437390,Nykaa BlendPro Highlighting Fan Makeup Brush
112,422911,Nykaa Serial Kisser Lip Balm - Grape
113,422909,Nykaa Serial Kisser Lip Balm - Pinacolada
114,422906,Nykaa Serial Kisser Lip Balm - Pomegranate
115,422905,Nykaa Serial Kisser Lip Balm - Raspberry
